Date,Customer Acquisition Type,State,Product,Price,Units,Revenue,Delivery Performance,Return,Customer Satisfaction,,,,,,,,,,,
03-01-2017,Ad,Alabama,Product 1,499,10,4990,on-time,no,(3) ok,,,,,,,,,,,
06-01-2017,Ad,Mississippi,Product 1,499,10,4990,on-time,no,(4) high,,,,,,,,,,,
06-01-2017,Ad,Florida,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
10-01-2017,Ad,South Carolina,Product 1,499,9,4491,delayed,no,(1) very low,,,,,,,,,,,
13-01-2017,Ad,Florida,Product 1,499,2,998,delayed,no,(4) high,,,,,,,,,,,
13-01-2017,Ad,Georgia,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
15-01-2017,Ad,North Carolina,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
17-01-2017,Ad,Alabama,Product 1,499,4,1996,delayed,no,(4) high,,,,,,,,,,,
18-01-2017,Ad,Georgia,Product 1,499,3,1497,delayed,no,(1) very low,,,,,,,,,,,
21-01-2017,Ad,Alabama,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
21-01-2017,Ad,North Carolina,Product 1,499,4,1996,on-time,no,(4) high,,,,,,,,,,,
28-01-2017,Ad,Georgia,Product 1,499,9,4491,on-time,no,(1) very low,,,,,,,,,,,
10-02-2017,Ad,Tennessee,Product 1,499,3,1497,delayed,no,(4) high,,,,,,,,,,,
11-02-2017,Ad,Alabama,Product 1,499,7,3493,delayed,no,(2) low,,,,,,,,,,,
14-02-2017,Ad,Alabama,Product 1,499,2,998,on-time,no,(1) very low,,,,,,,,,,,
23-02-2017,Ad,North Carolina,Product 1,499,9,4491,on-time,no,(3) ok,,,,,,,,,,,
02-03-2017,Ad,Florida,Product 1,499,10,4990,delayed,no,(1) very low,,,,,,,,,,,
04-03-2017,Ad,Florida,Product 1,499,4,1996,delayed,yes,(2) low,,,,,,,,,,,
07-03-2017,Ad,Florida,Product 1,499,1,499,delayed,yes,(3) ok,,,,,,,,,,,
07-03-2017,Ad,Alabama,Product 1,499,1,499,on-time,yes,(4) high,,,,,,,,,,,
14-03-2017,Ad,Alabama,Product 1,499,6,2994,delayed,no,(4) high,,,,,,,,,,,
23-03-2017,Ad,South Carolina,Product 1,499,8,3992,delayed,no,(4) high,,,,,,,,,,,
24-03-2017,Ad,South Carolina,Product 1,499,6,2994,on-time,no,(4) high,,,,,,,,,,,
30-03-2017,Ad,Florida,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
02-04-2017,Ad,North Carolina,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
09-04-2017,Ad,Tennessee,Product 1,499,1,499,on-time,no,(4) high,,,,,,,,,,,
17-04-2017,Ad,Alabama,Product 1,499,4,1996,delayed,no,(1) very low,,,,,,,,,,,
18-04-2017,Ad,Alabama,Product 1,499,6,2994,on-time,no,(4) high,,,,,,,,,,,
21-04-2017,Ad,Tennessee,Product 1,499,6,2994,delayed,no,(4) high,,,,,,,,,,,
21-04-2017,Ad,North Carolina,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
24-04-2017,Ad,Tennessee,Product 1,499,6,2994,on-time,no,(2) low,,,,,,,,,,,
26-04-2017,Ad,Mississippi,Product 1,499,8,3992,on-time,no,(4) high,,,,,,,,,,,
03-05-2017,Ad,Florida,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
06-05-2017,Ad,Georgia,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
08-05-2017,Ad,Tennessee,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
11-05-2017,Ad,Alabama,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
14-05-2017,Ad,Tennessee,Product 1,499,3,1497,on-time,yes,(3) ok,,,,,,,,,,,
15-05-2017,Ad,Florida,Product 1,499,6,2994,on-time,no,(5) very high,,,,,,,,,,,
21-05-2017,Ad,Alabama,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
24-05-2017,Ad,Alabama,Product 1,499,10,4990,on-time,no,(3) ok,,,,,,,,,,,
28-05-2017,Ad,Florida,Product 1,499,6,2994,on-time,yes,(3) ok,,,,,,,,,,,
28-05-2017,Ad,Florida,Product 1,499,9,4491,on-time,no,(2) low,,,,,,,,,,,
30-05-2017,Ad,Florida,Product 1,499,4,1996,delayed,no,(4) high,,,,,,,,,,,
03-06-2017,Ad,North Carolina,Product 1,499,4,1996,on-time,no,(3) ok,,,,,,,,,,,
03-06-2017,Ad,Florida,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
09-06-2017,Ad,North Carolina,Product 1,499,8,3992,delayed,no,(3) ok,,,,,,,,,,,
09-06-2017,Ad,Tennessee,Product 1,499,4,1996,delayed,no,(3) ok,,,,,,,,,,,
13-06-2017,Ad,Tennessee,Product 1,499,2,998,delayed,no,(5) very high,,,,,,,,,,,
13-06-2017,Ad,Georgia,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
14-06-2017,Ad,Georgia,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
15-06-2017,Ad,Florida,Product 1,499,4,1996,delayed,no,(3) ok,,,,,,,,,,,
17-06-2017,Ad,Mississippi,Product 1,499,7,3493,delayed,no,(2) low,,,,,,,,,,,
27-06-2017,Ad,Florida,Product 1,499,8,3992,on-time,no,(2) low,,,,,,,,,,,
01-07-2017,Ad,North Carolina,Product 1,499,1,499,on-time,no,(2) low,,,,,,,,,,,
04-07-2017,Ad,Florida,Product 1,499,6,2994,on-time,no,(2) low,,,,,,,,,,,
07-07-2017,Ad,Alabama,Product 1,499,5,2495,on-time,no,(2) low,,,,,,,,,,,
07-07-2017,Ad,Tennessee,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
07-07-2017,Ad,Mississippi,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
07-07-2017,Ad,Alabama,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
09-07-2017,Ad,Alabama,Product 1,499,7,3493,delayed,no,(5) very high,,,,,,,,,,,
17-07-2017,Ad,Georgia,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
18-07-2017,Ad,South Carolina,Product 1,499,4,1996,delayed,no,(1) very low,,,,,,,,,,,
19-07-2017,Ad,North Carolina,Product 1,499,9,4491,delayed,no,(1) very low,,,,,,,,,,,
23-07-2017,Ad,Mississippi,Product 1,499,2,998,on-time,no,(3) ok,,,,,,,,,,,
25-07-2017,Ad,Florida,Product 1,499,4,1996,delayed,no,(1) very low,,,,,,,,,,,
27-07-2017,Ad,South Carolina,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
31-07-2017,Ad,Mississippi,Product 1,499,9,4491,on-time,no,(1) very low,,,,,,,,,,,
03-08-2017,Ad,Florida,Product 1,499,10,4990,on-time,no,(2) low,,,,,,,,,,,
04-08-2017,Ad,South Carolina,Product 1,499,9,4491,on-time,no,(4) high,,,,,,,,,,,
09-08-2017,Ad,Georgia,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
09-08-2017,Ad,Alabama,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
09-08-2017,Ad,Georgia,Product 1,499,5,2495,delayed,no,(2) low,,,,,,,,,,,
11-08-2017,Ad,Alabama,Product 1,499,9,4491,delayed,no,(3) ok,,,,,,,,,,,
16-08-2017,Ad,Tennessee,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
16-08-2017,Ad,Tennessee,Product 1,499,10,4990,on-time,no,(3) ok,,,,,,,,,,,
18-08-2017,Ad,Tennessee,Product 1,499,4,1996,on-time,no,(1) very low,,,,,,,,,,,
18-08-2017,Ad,North Carolina,Product 1,499,10,4990,on-time,no,(4) high,,,,,,,,,,,
19-08-2017,Ad,South Carolina,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
23-08-2017,Ad,Georgia,Product 1,499,10,4990,on-time,yes,(3) ok,,,,,,,,,,,
23-08-2017,Ad,Tennessee,Product 1,499,1,499,delayed,no,(2) low,,,,,,,,,,,
25-08-2017,Ad,Alabama,Product 1,499,7,3493,on-time,no,(2) low,,,,,,,,,,,
27-08-2017,Ad,Mississippi,Product 1,499,2,998,delayed,no,(2) low,,,,,,,,,,,
30-08-2017,Ad,Tennessee,Product 1,499,5,2495,delayed,no,(3) ok,,,,,,,,,,,
31-08-2017,Ad,North Carolina,Product 1,499,9,4491,on-time,no,(2) low,,,,,,,,,,,
03-09-2017,Ad,Alabama,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
06-09-2017,Ad,North Carolina,Product 1,499,5,2495,on-time,no,(4) high,,,,,,,,,,,
20-09-2017,Ad,Tennessee,Product 1,499,3,1497,on-time,yes,(2) low,,,,,,,,,,,
21-09-2017,Ad,South Carolina,Product 1,499,8,3992,delayed,no,(3) ok,,,,,,,,,,,
22-09-2017,Ad,Tennessee,Product 1,499,1,499,delayed,no,(3) ok,,,,,,,,,,,
22-09-2017,Ad,South Carolina,Product 1,499,8,3992,on-time,no,(1) very low,,,,,,,,,,,
24-09-2017,Ad,Alabama,Product 1,499,9,4491,on-time,no,(1) very low,,,,,,,,,,,
03-10-2017,Ad,Alabama,Product 1,499,7,3493,on-time,no,(5) very high,,,,,,,,,,,
05-10-2017,Ad,Alabama,Product 1,499,9,4491,delayed,no,(3) ok,,,,,,,,,,,
05-10-2017,Ad,Alabama,Product 1,499,2,998,delayed,yes,(3) ok,,,,,,,,,,,
